invoice_id,vendor_id,vendor_name,amount,lines_sum,hour,is_new_vendor,vendor_avg_amount,amount_vs_avg_ratio,risk
1,38,"Baker, Mason and White",1191.3320007315117,1191.3320007315117,12,1,943.4119104379274,1.2627909267951694,1
2,18,"Flowers, Martin and Kelly",190.1404614821801,190.1404614821801,14,1,189.82561585428627,1.0016586045380487,1
3,7,Blake and Sons,1813.2216671964445,1813.2216671964445,10,1,1450.8321916499115,1.2497804209420096,1
4,34,Frazier Inc,650.2811799198522,650.2811799198522,11,1,887.1075375483061,0.7330353450913408,1
5,26,Wilkerson-Day,537.635853743418,537.635853743418,12,1,421.02466744797863,1.2769699623593853,1
6,29,"Ross, Robinson and Bright",527.2286751516082,527.2286751516082,13,1,350.98070277483475,1.5021585830313926,1
7,4,Davis and Sons,1106.2306874898384,1106.2306874898384,12,1,1483.6935541603707,0.7455924334158476,1
8,13,Arnold Ltd,1045.7041898155594,1045.7041898155594,16,1,1319.9428885656355,0.7922344208027912,1
9,31,Burton Ltd,2097.8943849560687,2097.8943849560687,11,1,1499.2000482748622,1.3993425276167297,1
10,34,Frazier Inc,736.3178800501422,736.3178800501422,12,0,879.2860193546433,0.8374042846610557,0
11,18,"Flowers, Martin and Kelly",247.78392877214947,247.78392877214947,12,0,185.98271803495498,1.3322954486856091,0
12,33,"Ferrell, Rice and Maddox",613.5793004011184,613.5793004011184,10,1,723.7628116035337,0.8477629557143203,1
13,34,Frazier Inc,1111.2705934772312,1111.2705934772312,15,0,845.19940904309,1.3148028519510906,0
14,16,Galloway-Wyatt,509.59428824931155,509.59428824931155,10,1,552.7486042328504,0.9219277703225828,1
15,36,Rodriguez-Graham,447.44212046924525,447.44212046924525,11,1,405.2302650252839,1.1041675785033667,0
16,12,Dudley Group,2746.273848469581,2746.273848469581,16,1,2018.765643244159,1.3603727890159232,1
17,10,Abbott-Munoz,847.9835626418577,829.4140637245426,18,1,863.9678106506992,0.9814990236768162,1
18,28,"Hoffman, Baker and Richards",151.63024054271045,151.63024054271045,15,1,135.2267015017957,1.1213039943941614,1
19,26,Wilkerson-Day,290.4082986231698,290.4082986231698,18,0,448.49439579467287,0.6475182328836119,0
20,6,"Gardner, Robinson and Lawrence",2289.7890104039902,2289.7890104039902,17,1,2020.9981502207493,1.1329990629402018,1
21,34,Frazier Inc,675.0623756660735,675.0623756660735,13,0,884.8547015713768,0.7629075988038015,0
22,8,"Henderson, Ramirez and Lewis",2108.8961103131414,2108.8961103131414,16,1,1681.5525100090154,1.2541363399361434,1
23,33,"Ferrell, Rice and Maddox",376.6733501165803,387.98200020834645,11,0,753.3760553891009,0.4999805175942809,1
24,1,"Rodriguez, Figueroa and Sanchez",1022.821514708031,1022.821514708031,13,1,1506.6015499756031,0.678893178308886,1
25,32,Carlson-Cruz,1575.2267030203448,1575.2267030203448,13,1,2054.967322992026,0.7665458644504477,1
26,32,Carlson-Cruz,2060.344171136032,2060.344171136032,2,0,2014.540867315719,1.0227363487946233,1
27,32,Carlson-Cruz,1851.7847626038151,1851.7847626038151,18,0,2031.920818026737,0.9113469118359357,0
28,27,Baker and Sons,901.1748115687816,901.1748115687816,17,1,956.438907516213,0.942218896039113,1
29,19,"Adams, Zuniga and Wong",1598.964893920738,1608.3230300498465,13,1,1557.8306189895834,1.0264048442941984,1
30,29,"Ross, Robinson and Bright",418.68236196966274,418.68236196966274,15,0,361.83533409302936,1.1571074533644572,0
31,12,Dudley Group,2191.819489184976,2191.819489184976,10,0,2055.729267196466,1.06620045944771,0
32,32,Carlson-Cruz,2132.3316478315287,2132.3316478315287,16,0,2008.5419109244274,1.0616316424535683,0
33,23,Perez Inc,2232.886327034665,2232.886327034665,14,1,2004.3516915111531,1.114019229505183,1
34,19,"Adams, Zuniga and Wong",1791.8653937499325,1722.964229983845,13,0,1540.2942099142022,1.163326708765427,1
35,21,Gray-Mayo,1495.354868992764,1495.354868992764,16,1,1464.9564922253944,1.0207503614808326,1
36,23,Perez Inc,1799.2877647546109,1799.2877647546109,14,0,2040.484905034491,0.8817942050515668,0
37,2,Doyle Ltd,750.2833543523855,750.2833543523855,8,1,912.3332344870772,0.8223786287629894,1
38,6,"Gardner, Robinson and Lawrence",1508.3650031387563,1508.3650031387563,11,0,2081.1076892411515,0.7247895007724284,0
39,10,Abbott-Munoz,680.0633287767098,680.0633287767098,9,0,884.9578398838427,0.7684697486447187,0
40,5,"Guzman, Hoffman and Baldwin",187.09323706762262,187.09323706762262,16,1,273.9597159732264,0.6829224377130939,1
41,18,"Flowers, Martin and Kelly",171.38828724258457,171.38828724258457,23,0,191.07576080359266,0.8969650913427742,1
42,27,Baker and Sons,1043.7940017582316,1043.7940017582316,8,0,945.4682005785629,1.10399694153595,0
43,27,Baker and Sons,972.4602155184957,972.4602155184957,3,0,950.9554149046965,1.022613889438712,1
44,19,"Adams, Zuniga and Wong",1374.0586480739662,1374.0586480739662,23,0,1578.2766413392899,0.8706069722402855,1
45,35,"Dyer, Potter and Mack",1209.3409822427302,1209.3409822427302,10,1,1078.7236574079752,1.1210850656122722,1
46,23,Perez Inc,2337.34313757489,2344.204872459783,14,0,1995.6469572994677,1.1712207557682495,1
47,4,Davis and Sons,1617.0488973262359,1617.0488973262359,15,0,1444.3998457114171,1.1195299571150141,0
48,31,Burton Ltd,1574.5688372556967,1574.5688372556967,13,0,1564.6157417374088,1.006361367365022,0
49,23,Perez Inc,1352.7369224058807,1358.2855066278569,17,0,2077.6974752302185,0.6510750186361907,1
50,26,Wilkerson-Day,458.6266957492068,458.6266957492068,18,0,429.8034627806688,1.0670614256620048,0
51,23,Perez Inc,1551.5245191775755,1551.5245191775755,9,0,2061.1318421659103,0.752753650900458,0
52,23,Perez Inc,2037.29419642817,2037.29419642817,18,0,2020.6510357283612,1.0082365338722674,0
53,4,Davis and Sons,979.993066982416,979.993066982416,14,0,1493.4041403532492,0.6562142426835705,0
54,23,Perez Inc,2713.4156532911384,2713.4156532911384,14,0,1964.3075809897803,1.3813598641837423,0
55,32,Carlson-Cruz,2645.7221779928295,2645.7221779928295,9,0,1965.759366744319,1.3459033810301315,0
